CD_MUN,NM_MUN,POP2019,CEP,AREA_KM2,CD_RGI,CD_RGINT,CD_UF
"2206902",Novo Oriente do Piauí,"6565","64530000",525.906,"220004","2201","22"
"2206951",Novo Santo Antônio,"2991","64365000",445.332,"220001","2201","22"
"2207009",Oeiras,"37029","64500000",2702.486,"220011","2203","22"
"2207108",Olho D'Água do Piauí,"2459","64468000",183.121,"220002","2201","22"
"2207207",Padre Marcos,"6868","64680000",278.637,"220009","2203","22"
"2207306",Paes Landim,"4129","64710000",401.378,"220012","2203","22"
"2207355",Pajeú do Piauí,"3389","64898000",986.961,"220019","2206","22"
"2207405",Palmeira do Piauí,"5043","64925000",2023.519,"220016","2205","22"
"2207504",Palmeirais,"14539","64420000",1499.18,"220002","2201","22"
"2207553",Paquetá,"3945","64618000",432.681,"220009","2203","22"
"2207603",Parnaguá,"10791","64970000",3429.282,"220015","2205","22"
"2207702",Parnaíba,"153078","64200000",435.942,"220006","2202","22"
"2207751",Passagem Franca do Piauí,"4313","64395000",643.438,"220002","2201","22"
"2207777",Patos do Piauí,"6392","64580000",803.299,"220010","2203","22"
"2207793",Pau D'Arco do Piauí,"4045","64295000",430.817,"220001","2201","22"
"2207801",Paulistana,"20523","64750000",1941.393,"220010","2203","22"
"2207850",Pavussu,"3677","64838000",1090.697,"220019","2206","22"
"2207900",Pedro II,"38742","64255000",1544.565,"220007","2202","22"
"2207934",Pedro Laurentino,"2536","64728000",870.337,"220014","2204","22"
"2207959",Nova Santa Rita,"4374","64764000",909.734,"220014","2204","22"
"2208007",Picos,"78222","64600000",577.304,"220009","2203","22"
"2208106",Pimenteiras,"12127","64320000",4562.9,"220004","2201","22"
"2208205",Pio IX,"18425","64660000",1947.212,"220009","2203","22"
"2208304",Piracuruca,"28791","64240000",2369.21,"220007","2202","22"
"2208403",Piripiri,"63742","64260000",1409.25,"220007","2202","22"
"2208502",Porto,"12568","64145000",253.21,"220005","2201","22"
"2208551",Porto Alegre do Piauí,"2710","64858000",1169.441,"220017","2206","22"
"2208601",Prata do Piauí,"3151","64370000",198.566,"220002","2201","22"
"2208650",Queimada Nova,"8992","64758000",1284.674,"220010","2203","22"
"2208700",Redenção do Gurguéia,"8778","64915000",2468.072,"220016","2205","22"
"2208809",Regeneração,"17978","64490000",1251.036,"220002","2201","22"
"2208858",Riacho Frio,"4312","64975000",2222.096,"220015","2205","22"
"2208874",Ribeira do Piauí,"4477","64725000",1012.479,"220014","2204","22"
"2208908",Ribeiro Gonçalves,"7341","64865000",3978.944,"220018","2206","22"
"2209005",Rio Grande do Piauí,"6432","64835000",635.953,"220019","2206","22"
"2209104",Santa Cruz do Piauí,"6240","64545000",583.097,"220009","2203","22"
"2209153",Santa Cruz dos Milagres,"4019","64315000",978.565,"220004","2201","22"
"2209203",Santa Filomena,"6253","64945000",5285.45,"220015","2205","22"
"2209302",Santa Luz,"5860","64910000",1186.737,"220016","2205","22"
"2209351",Santana do Piauí,"4634","64615000",111.063,"220009","2203","22"
"2209377",Santa Rosa do Piauí,"5257","64518000",340.198,"220011","2203","22"
"2209401",Santo Antônio de Lisboa,"6415","64640000",385.135,"220009","2203","22"
"2209450",Santo Antônio dos Milagres,"2161","64438000",33.668,"220002","2201","22"
"2209500",Santo Inácio do Piauí,"3798","64560000",852.088,"220011","2203","22"
"2209559",São Braz do Piauí,"4448","64783000",656.367,"220013","2204","22"
"2209609",São Félix do Piauí,"2942","64375000",627.157,"220002","2201","22"
"2209658",São Francisco de Assis do Piauí,"5755","64745000",1072.48,"220012","2203","22"
"2209708",São Francisco do Piauí,"6423","64550000",1340.665,"220017","2206","22"
"2209757",São Gonçalo do Gurguéia,"3041","64993000",1385.311,"220015","2205","22"
"2209807",São Gonçalo do Piauí,"5015","64435000",150.07,"220002","2201","22"
"2209856",São João da Canabrava,"4608","64635000",480.537,"220009","2203","22"
"2209872",São João da Fronteira,"6042","64243000",817.111,"220007","2202","22"
"2209906",São João da Serra,"6139","64350000",997.035,"220003","2201","22"
"2209955",São João da Varjota,"4840","64510000",395.306,"220011","2203","22"
"2209971",São João do Arraial,"7989","64155000",213.355,"220008","2202","22"
"2210003",São João do Piauí,"20601","64760000",1527.773,"220014","2204","22"
